Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
111.430	0.553000	423.127	0.00236336	-0.0236710	-0.00270411	-0.177904	33.0290	55.7342	1344.80	-0.419325	118.113	0.184539	liquid
111.331	11.6370	432.676	0.00231120	-0.172415	0.259063	-1.55757	33.5094	54.1132	1441.23	-0.456745	136.234	0.196279	liquid
111.483	22.6910	440.490	0.00227020	-0.281368	0.545045	-2.63594	33.9172	53.0679	1520.95	-0.480395	152.206	0.206606	liquid
111.328	34.1130	447.927	0.00223251	-0.390458	0.831322	-3.76850	34.3171	52.3056	1595.51	-0.497540	168.834	0.216872	liquid
111.205	44.9290	454.220	0.00220158	-0.478566	1.10830	-4.73611	34.6620	51.7814	1658.75	-0.508952	184.026	0.226004	liquid
111.081	56.7360	460.462	0.00217173	-0.562133	1.41459	-5.70644	35.0093	51.3559	1721.58	-0.517845	200.261	0.235479	liquid
110.962	68.6440	466.229	0.00214487	-0.635825	1.72619	-6.61317	35.3350	51.0365	1779.73	-0.524180	216.464	0.244619	liquid
133.874	0.315000	4.87074	0.205308	7.77741	8.81493	69.5040	26.2124	37.1097	291.349	20.5494	5.17333	0.0144101	vapor
134.867	0.764000	386.305	0.00258863	1.31586	1.34759	10.7407	31.4879	59.6369	1099.21	-0.272247	74.5043	0.151153	liquid
134.906	11.7090	400.783	0.00249512	1.08737	1.55607	8.98135	31.9590	55.9326	1236.62	-0.371905	87.2784	0.165736	liquid
134.752	22.9620	412.470	0.00242442	0.902718	1.79581	7.46820	32.4259	53.9129	1346.56	-0.427946	98.6839	0.178673	liquid
134.872	34.1770	421.782	0.00237089	0.768657	2.06860	6.29302	32.8342	52.6719	1435.70	-0.461966	108.346	0.189888	liquid
134.713	45.5760	430.225	0.00232436	0.643213	2.34271	5.14249	33.2293	51.8105	1515.97	-0.485558	117.754	0.200685	liquid
