# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.338739999999999952e+02	3.150000000000000022e-01	1.480000000000000071e+01	1.441009999999999991e+01	1.267742633819580078e+01
1.443300000000000125e+02	3.569999999999999840e-01	1.590000000000000036e+01	1.560379999999999967e+01	1.634085083007812500e+01
1.440240000000000009e+02	6.500000000000000222e-01	1.660000000000000142e+01	1.641769999999999996e+01	1.695716094970703125e+01
1.539219999999999970e+02	4.289999999999999925e-01	1.700000000000000000e+01	1.678920000000000101e+01	1.660107612609863281e+01
1.542340000000000089e+02	7.309999999999999831e-01	1.769999999999999929e+01	1.752099999999999724e+01	1.708023452758789062e+01
1.539190000000000111e+02	1.082000000000000073e+00	1.859999999999999787e+01	1.866599999999999682e+01	1.941402626037597656e+01
1.643849999999999909e+02	4.460000000000000075e-01	1.810000000000000142e+01	1.797510000000000119e+01	1.871110343933105469e+01
1.640589999999999975e+02	9.350000000000000533e-01	1.900000000000000000e+01	1.892740000000000222e+01	1.909464263916015625e+01
1.636169999999999902e+02	1.657000000000000028e+00	2.139999999999999858e+01	2.144089999999999918e+01	2.054711723327636719e+01
1.745409999999999968e+02	4.060000000000000275e-01	1.909999999999999787e+01	1.906909999999999883e+01	3.042124176025390625e+01
1.741570000000000107e+02	1.014999999999999902e+00	2.019999999999999929e+01	2.006439999999999912e+01	1.743403053283691406e+01
1.737539999999999907e+02	1.750999999999999890e+00	2.200000000000000000e+01	2.198499999999999943e+01	2.386036491394042969e+01
1.732520000000000095e+02	2.460999999999999854e+00	2.560000000000000142e+01	2.574819999999999709e+01	1.894447326660156250e+01
1.746920000000000073e+02	2.644000000000000128e+00	9.420000000000000284e+01	2.705659999999999954e+01	2.463978767395019531e+01
1.846649999999999920e+02	7.520000000000000018e-01	2.060000000000000142e+01	2.074549999999999983e+01	2.199599838256835938e+01
1.848439999999999941e+02	1.508000000000000007e+00	2.200000000000000000e+01	2.213889999999999958e+01	2.418676567077636719e+01
1.844389999999999930e+02	2.251999999999999780e+00	2.400000000000000000e+01	2.415950000000000131e+01	2.420467376708984375e+01
1.841450000000000102e+02	2.883999999999999897e+00	2.700000000000000000e+01	2.713200000000000145e+01	2.661126327514648438e+01
