# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.980999999999999943e+02	4.568999999999999950e+00	3.650000000000000000e+01	3.654439999999999600e+01	4.665146636962890625e+01
1.981380000000000052e+02	4.860999999999999766e+00	4.050000000000000000e+01	4.094960000000000377e+01	5.393442535400390625e+01
1.976970000000000027e+02	5.049000000000000377e+00	4.510000000000000142e+01	4.631520000000000437e+01	5.235880279541015625e+01
1.976260000000000048e+02	5.173000000000000043e+00	4.929999999999999716e+01	5.068700000000000472e+01	5.071128463745117188e+01
1.976370000000000005e+02	5.230000000000000426e+00	5.150000000000000000e+01	5.291579999999999728e+01	5.144878387451171875e+01
1.975370000000000061e+02	5.328999999999999737e+00	5.460000000000000142e+01	5.818170000000000641e+01	5.871433639526367188e+01
1.976399999999999864e+02	5.408000000000000362e+00	5.839999999999999858e+01	6.157060000000000599e+01	5.454175949096679688e+01
1.978640000000000043e+02	5.500000000000000000e+00	6.219999999999999574e+01	6.442779999999999063e+01	5.877956008911132812e+01
1.979600000000000080e+02	5.692999999999999616e+00	6.940000000000000568e+01	6.934820000000000562e+01	6.513506317138671875e+01
1.981810000000000116e+02	5.964999999999999858e+00	7.200000000000000000e+01	6.989670000000000982e+01	6.052005767822265625e+01
1.981819999999999879e+02	6.570999999999999730e+00	7.409999999999999432e+01	7.223599999999999000e+01	6.295771789550781250e+01
1.981359999999999957e+02	7.445000000000000284e+00	7.760000000000000853e+01	7.660469999999999402e+01	7.036562347412109375e+01
1.983940000000000055e+02	8.897999999999999687e+00	8.269999999999998863e+01	8.211379999999999768e+01	7.370310974121093750e+01
1.987580000000000098e+02	1.117900000000000027e+01	8.909999999999999432e+01	8.881369999999999720e+01	8.424144744873046875e+01
1.986399999999999864e+02	1.444999999999999929e+01	9.679999999999999716e+01	9.688979999999999393e+01	9.844676971435546875e+01
1.990260000000000105e+02	1.921900000000000119e+01	1.060000000000000000e+02	1.057749999999999915e+02	9.989894104003906250e+01
2.001690000000000111e+02	2.607100000000000151e+01	1.150999999999999943e+02	1.156390000000000100e+02	1.095955352783203125e+02
2.004300000000000068e+02	3.526400000000000290e+01	1.274000000000000199e+02	1.275360000000000156e+02	1.304725799560546875e+02
2.002299999999999898e+02	4.724199999999999733e+01	1.413000000000000114e+02	1.411399999999999864e+02	1.446728820800781250e+02
2.005579999999999927e+02	6.261899999999999977e+01	1.567000000000000171e+02	1.559850000000000136e+02	1.566213226318359375e+02
2.005550000000000068e+02	6.941899999999999693e+01	1.635000000000000000e+02	1.621419999999999959e+02	1.631993408203125000e+02
2.141550000000000011e+02	5.022000000000000242e+00	3.410000000000000142e+01	3.351590000000000202e+01	4.257653045654296875e+01
2.141740000000000066e+02	5.810999999999999943e+00	3.850000000000000000e+01	3.796600000000000108e+01	5.395804595947265625e+01
2.139089999999999918e+02	6.371999999999999886e+00	4.279999999999999716e+01	4.252469999999999573e+01	5.015898132324218750e+01
2.135629999999999882e+02	6.929000000000000270e+00	4.850000000000000000e+01	4.837839999999999918e+01	5.146965789794921875e+01
2.132390000000000043e+02	7.357000000000000206e+00	5.329999999999999716e+01	5.338480000000000558e+01	5.600962066650390625e+01
2.133420000000000130e+02	7.759999999999999787e+00	5.720000000000000284e+01	5.710640000000000072e+01	5.670478057861328125e+01
2.134950000000000045e+02	8.255000000000000782e+00	6.090000000000000568e+01	6.068760000000000332e+01	5.707482528686523438e+01
2.134360000000000070e+02	8.696999999999999176e+00	6.400000000000000000e+01	6.342490000000000805e+01	5.585825347900390625e+01
2.136049999999999898e+02	9.310000000000000497e+00	6.700000000000000000e+01	6.631779999999999120e+01	6.477536010742187500e+01
2.142740000000000009e+02	1.006900000000000084e+01	6.970000000000000284e+01	6.893720000000000425e+01	6.846110534667968750e+01
2.143859999999999957e+02	1.110599999999999987e+01	7.350000000000000000e+01	7.275149999999999295e+01	6.782350921630859375e+01
2.144749999999999943e+02	1.241900000000000048e+01	7.760000000000000853e+01	7.696690000000000964e+01	7.145670318603515625e+01
2.150190000000000055e+02	1.425699999999999967e+01	8.190000000000000568e+01	8.166850000000000875e+01	8.497903442382812500e+01
2.153669999999999902e+02	1.676500000000000057e+01	8.729999999999999716e+01	8.737890000000000157e+01	8.922524261474609375e+01
2.151519999999999868e+02	2.027299999999999969e+01	9.439999999999999147e+01	9.460800000000000409e+01	9.651890563964843750e+01
2.154579999999999984e+02	2.488800000000000168e+01	1.020999999999999943e+02	1.022600000000000051e+02	1.034526519775390625e+02
2.151910000000000025e+02	3.124899999999999878e+01	1.116000000000000085e+02	1.117019999999999982e+02	1.130174102783203125e+02
2.149139999999999873e+02	3.961599999999999966e+01	1.223000000000000114e+02	1.223680000000000092e+02	1.229174880981445312e+02
2.151740000000000066e+02	4.855100000000000193e+01	1.323000000000000114e+02	1.320759999999999934e+02	1.324332275390625000e+02
2.154159999999999968e+02	5.764900000000000091e+01	1.415000000000000000e+02	1.410639999999999930e+02	1.392816619873046875e+02
2.151670000000000016e+02	6.610200000000000387e+01	1.499000000000000057e+02	1.491319999999999766e+02	1.454033508300781250e+02
2.151459999999999866e+02	6.927100000000000080e+01	1.531000000000000227e+02	1.519939999999999998e+02	1.510765228271484375e+02
2.344430000000000121e+02	5.136000000000000121e+00	3.360000000000000142e+01	3.293769999999999953e+01	5.833699417114257812e+01
2.349170000000000016e+02	7.131999999999999673e+00	3.939999999999999858e+01	3.906260000000000332e+01	3.117348861694335938e+01
2.339459999999999980e+02	9.426999999999999602e+00	5.039999999999999858e+01	4.996350000000000335e+01	6.928775787353515625e+01
2.341769999999999925e+02	1.147199999999999953e+01	5.920000000000000284e+01	5.902720000000000056e+01	7.057121276855468750e+01
2.344890000000000043e+02	1.360200000000000031e+01	6.619999999999998863e+01	6.609409999999999741e+01	7.087754821777343750e+01
2.343679999999999950e+02	1.575099999999999945e+01	7.229999999999999716e+01	7.206260000000000332e+01	7.246258544921875000e+01
2.341560000000000059e+02	1.769300000000000139e+01	7.700000000000000000e+01	7.679080000000000439e+01	7.749656677246093750e+01
2.339960000000000093e+02	2.053500000000000014e+01	8.279999999999999716e+01	8.279160000000000252e+01	8.516920471191406250e+01
2.344540000000000077e+02	2.341100000000000136e+01	8.779999999999999716e+01	8.780330000000000723e+01	8.738253784179687500e+01
2.343230000000000075e+02	2.693199999999999861e+01	9.360000000000000853e+01	9.363790000000000191e+01	9.324151611328125000e+01
2.343870000000000005e+02	3.036400000000000077e+01	9.900000000000000000e+01	9.868420000000000414e+01	9.357967376708984375e+01
2.341579999999999870e+02	3.409000000000000341e+01	1.035999999999999943e+02	1.038790000000000049e+02	1.058319473266601562e+02
2.345889999999999986e+02	3.754699999999999704e+01	1.080000000000000000e+02	1.080249999999999915e+02	1.098056945800781250e+02
2.344830000000000041e+02	4.102000000000000313e+01	1.122999999999999972e+02	1.122330000000000041e+02	1.039172973632812500e+02
2.344230000000000018e+02	4.435199999999999676e+01	1.164000000000000057e+02	1.160510000000000019e+02	1.121451187133789062e+02
2.343000000000000114e+02	4.792999999999999972e+01	1.202999999999999972e+02	1.200049999999999955e+02	1.189900283813476562e+02
2.342760000000000105e+02	5.124300000000000210e+01	1.240000000000000000e+02	1.234759999999999991e+02	1.213075256347656250e+02
