Temperature (K)	Pressure (MPa)	Therm. Cond. (W/m*K)
233.731	44.350	0.11693
235.016	47.931	0.12000
234.521	47.932	0.12028
234.030	47.927	0.12052
233.633	47.928	0.12049
234.971	51.244	0.12341
234.454	51.246	0.12389
234.029	51.243	0.12423
233.650	51.240	0.12465
235.440	55.105	0.12730
234.914	55.104	0.12766
234.391	55.102	0.12801
233.958	55.098	0.12822
235.316	58.418	0.13073
234.894	58.416	0.13080
234.436	58.416	0.13120
233.899	58.413	0.13157
235.308	61.887	0.13415
234.767	61.887	0.13448
234.277	61.885	0.13461
233.911	61.882	0.13451
235.226	65.387	0.13752
234.756	65.384	0.13780
234.141	65.382	0.13834
233.842	65.381	0.13807
235.239	68.761	0.14080
234.730	68.761	0.14104
234.268	68.757	0.14156
233.731	68.757	0.14160
255.835	1.020	0.02906
255.177	1.020	0.02900
254.645	1.019	0.02887
253.943	1.019	0.02881
256.518	2.714	0.03098
255.864	2.714	0.03081
255.237	2.716	0.03080
254.735	2.717	0.03076
255.777	4.718	0.03381
255.276	4.721	0.03367
254.679	4.726	0.03365
254.209	4.732	0.03350
256.067	6.551	0.03709
255.011	6.552	0.03707
254.140	6.555	0.03697
253.452	6.558	0.03716
256.771	6.788	0.03763
255.562	6.788	0.03765
254.504	6.789	0.03768
256.308	8.785	0.04254
255.358	8.785	0.04274
254.477	8.785	0.04276
253.831	8.786	0.04315
256.639	11.182	0.04911
255.633	11.183	0.04934
254.824	11.183	0.04949
254.114	11.187	0.04973
256.101	13.268	0.05538
255.217	13.269	0.05549
254.473	13.270	0.05559
253.901	13.273	0.05589
256.416	15.396	0.06085
255.651	15.397	0.06112
254.967	15.399	0.06134
254.357	15.401	0.06167
256.151	17.518	0.06596
255.415	17.519	0.06619
254.730	17.521	0.06643
254.159	17.522	0.06667
255.901	20.351	0.07195
255.130	20.352	0.07227
254.542	20.353	0.07266
254.029	20.351	0.07260
256.273	23.422	0.07746
255.560	23.422	0.07781
254.902	23.423	0.07792
254.313	23.423	0.07809
255.901	26.850	0.08305
255.234	26.850	0.08338
254.549	26.851	0.08345
254.205	26.849	0.08391
255.776	30.401	0.08833
255.193	30.399	0.08852
254.584	30.400	0.08907
254.087	30.397	0.08915
255.663	33.905	0.09323
255.054	33.907	0.09361
254.579	33.909	0.09388
254.064	33.909	0.09394
255.663	37.376	0.09780
255.091	37.374	0.09811
254.512	37.373	0.09820
254.068	37.374	0.09838
256.199	40.731	0.10193
255.692	40.729	0.10218
255.244	40.727	0.10249
256.203	44.631	0.10593
255.607	44.631	0.10628
254.993	44.631	0.10634
254.544	44.632	0.10682
256.097	48.090	0.10970
255.479	48.089	0.11007
254.909	48.089	0.11033
254.428	48.087	0.11059
255.939	51.674	0.11361
255.358	51.673	0.11379
254.925	51.672	0.11397
254.412	51.673	0.11422
256.371	56.210	0.11793
255.786	56.209	0.11819
255.239	56.207	0.11843
254.711	56.208	0.11839
254.267	56.203	0.11912
255.471	59.687	0.12184
255.429	59.690	0.12189
254.396	59.684	0.12209
254.078	59.683	0.12246
255.957	63.260	0.12586
255.379	63.260	0.12659
254.993	63.255	0.12468
254.436	63.252	0.12537
255.922	66.477	0.12880
255.361	66.480	0.12865
254.827	66.474	0.12888
254.429	66.473	0.12852
275.820	1.015	0.03152
275.218	1.015	0.03144
274.623	1.015	0.03134
274.083	1.016	0.03134
276.019	2.495	0.03288
275.382	2.495	0.03289
274.765	2.496	0.03277
274.285	2.497	0.03274
275.546	4.446	0.03509
275.066	4.447	0.03495
274.433	4.448	0.03499
274.021	4.449	0.03489
275.252	6.508	0.03804
274.818	6.508	0.03809
274.354	6.507	0.03807
274.121	6.507	0.03816
277.314	8.401	0.04135
276.746	8.402	0.04134
276.190	8.405	0.04126
275.541	8.407	0.04120
276.595	10.552	0.04551
276.054	10.553	0.04548
275.617	10.555	0.04543
275.127	10.559	0.04547
276.632	12.673	0.05004
276.126	12.674	0.05012
275.640	12.675	0.05008
275.203	12.678	0.05007
276.728	14.652	0.05439
276.201	14.653	0.05443
275.829	14.655	0.05449
275.408	14.656	0.05452
276.345	16.954	0.05929
275.929	16.954	0.05945
275.539	16.956	0.05941
275.111	16.957	0.05939
276.052	19.153	0.06356
275.714	19.154	0.06373
275.280	19.155	0.06382
275.004	19.155	0.06383
276.700	21.322	0.06746
275.909	21.323	0.06757
275.069	21.324	0.06782
274.513	21.325	0.06784
276.428	23.529	0.07133
275.693	23.529	0.07146
274.982	23.531	0.07168
274.401	23.535	0.07155
276.181	26.983	0.07678
275.483	26.984	0.07696
274.770	26.986	0.07718
274.248	26.988	0.07728
276.033	30.486	0.08188
275.358	30.487	0.08186
274.715	30.488	0.08231
274.239	30.490	0.08232
276.647	33.987	0.08653
276.018	33.989	0.08678
275.248	33.987	0.08684
274.869	33.991	0.08710
276.150	37.531	0.09067
275.502	37.530	0.08976
274.848	37.529	0.09182
274.390	37.528	0.08826
276.052	41.154	0.09492
275.385	41.153	0.09586
274.737	41.151	0.09528
274.280	41.151	0.09576
275.921	44.660	0.09929
275.284	44.660	0.10015
274.679	44.660	0.09936
274.171	44.660	0.09927
275.776	48.079	0.10277
275.237	48.080	0.10290
274.656	48.078	0.10284
274.170	48.078	0.10364
276.282	51.734	0.10645
275.668	51.733	0.10652
275.120	51.733	0.10682
274.592	51.732	0.10677
276.367	55.237	0.10987
275.610	55.235	0.11000
275.048	55.235	0.11026
274.537	55.233	0.11059
276.173	58.748	0.11329
275.531	58.747	0.11347
274.999	58.748	0.11361
274.471	58.749	0.11393
276.101	62.502	0.11694
275.477	62.503	0.11710
274.905	62.499	0.11722
274.457	62.497	0.11744
275.948	65.832	0.12004
275.385	65.838	0.12010
274.943	65.840	0.12014
274.423	65.839	0.12016
276.499	69.251	0.12280
275.940	69.252	0.12306
275.379	69.254	0.12327
274.798	69.256	0.12333
296.783	0.988	0.03402
296.042	0.988	0.03389
295.352	0.988	0.03383
294.797	0.989	0.03357
296.430	1.949	0.03477
295.783	1.949	0.03465
295.177	1.950	0.03465
294.638	1.950	0.03451
296.023	3.911	0.03648
295.413	3.912	0.03651
294.915	3.913	0.03640
294.458	3.914	0.03638
296.320	5.976	0.03882
295.741	5.978	0.03879
295.153	5.981	0.03866
294.671	5.974	0.03862
295.849	8.077	0.04152
295.213	8.079	0.04159
294.626	8.082	0.04152
294.135	8.087	0.04146
295.366	10.365	0.04499
294.726	10.367	0.04503
294.274	10.369	0.04496
293.791	10.373	0.04498
294.991	12.169	0.04808
294.453	12.171	0.04798
293.987	12.173	0.04822
293.540	12.176	0.04813
296.186	14.295	0.05170
295.091	14.297	0.05178
294.119	14.297	0.05174
293.367	14.299	0.05159
295.764	16.379	0.05529
294.721	16.379	0.05535
293.904	16.381	0.05534
293.091	16.382	0.05532
295.420	18.657	0.05917
294.415	18.658	0.05936
293.588	18.659	0.05936
292.903	18.662	0.05952
295.068	21.429	0.06390
294.252	21.432	0.06409
293.482	21.432	0.06409
292.793	21.434	0.06431
295.659	25.128	0.06921
294.864	25.127	0.06971
294.012	25.128	0.06969
293.449	25.126	0.06976
295.578	28.719	0.07460
294.771	28.716	0.07485
294.080	28.712	0.07495
293.601	28.713	0.07484
296.573	32.484	0.07914
295.711	32.483	0.07927
295.042	32.484	0.07926
294.303	32.485	0.07989
296.404	36.134	0.08342
295.521	36.135	0.08366
294.862	36.136	0.08384
294.272	36.136	0.08398
296.324	39.442	0.08733
295.531	39.442	0.08743
294.765	39.444	0.08756
294.155	39.444	0.08786
296.156	42.826	0.09103
295.472	42.826	0.09127
294.753	42.827	0.09125
294.259	42.827	0.09136
296.097	46.333	0.09470
295.347	46.333	0.09492
294.739	46.333	0.09497
294.112	46.334	0.09524
296.086	49.998	0.09847
295.349	50.000	0.09867
294.672	50.000	0.09883
294.162	50.001	0.09914
295.878	53.680	0.10213
295.267	53.681	0.10220
294.552	53.682	0.10237
294.003	53.685	0.10249
295.330	57.061	0.10541
294.706	57.060	0.10558
294.110	57.061	0.10584
293.609	57.062	0.10574
295.232	60.576	0.10865
294.648	60.576	0.10885
294.036	60.578	0.10897
293.630	60.577	0.10909
295.187	63.953	0.11177
294.555	63.958	0.11204
294.012	63.952	0.11193
293.475	63.951	0.11241
295.776	67.319	0.11471
295.118	67.321	0.11491
294.631	67.320	0.11510
294.106	67.323	0.11521
309.085	1.076	0.03591
308.341	1.076	0.03610
307.755	1.077	0.03581
307.128	1.077	0.03558
309.214	2.675	0.03742
308.624	2.675	0.03733
308.033	2.676	0.03701
307.414	2.678	0.03693
309.391	4.743	0.03936
308.849	4.743	0.03910
308.250	4.743	0.03915
307.648	4.744	0.03901
309.635	6.732	0.04148
309.040	6.732	0.04153
308.464	6.733	0.04146
307.941	6.733	0.04127
309.267	8.876	0.04426
308.712	8.876	0.04395
308.170	8.877	0.04402
307.710	8.877	0.04403
310.021	11.038	0.04719
308.898	11.039	0.04715
307.879	11.039	0.04683
307.031	11.039	0.04695
309.673	13.147	0.05009
308.603	13.147	0.04996
307.642	13.148	0.05023
306.841	13.148	0.05033
309.353	15.185	0.05320
308.309	15.186	0.05323
307.523	15.186	0.05323
306.746	15.186	0.05325
310.102	17.278	0.05639
308.975	17.278	0.05647
308.110	17.277	0.05644
307.320	17.276	0.05646
309.770	19.464	0.05973
308.761	19.463	0.05986
307.944	19.463	0.05983
307.225	19.462	0.06000
309.480	22.418	0.06411
308.591	22.418	0.06422
307.806	22.418	0.06422
307.109	22.418	0.06411
309.260	26.028	0.06920
308.444	26.028	0.06941
307.756	26.028	0.06941
307.136	26.028	0.06952
310.093	29.477	0.07393
309.235	29.477	0.07395
308.527	29.476	0.07417
