# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.338739999999999952e+02	3.150000000000000022e-01	1.480000000000000071e+01	1.441009999999999991e+01	1.473407580555559271e+01
1.443300000000000125e+02	3.569999999999999840e-01	1.590000000000000036e+01	1.560379999999999967e+01	1.605705646825395760e+01
1.440240000000000009e+02	6.500000000000000222e-01	1.660000000000000142e+01	1.641769999999999996e+01	1.654887910714287713e+01
1.539219999999999970e+02	4.289999999999999925e-01	1.700000000000000000e+01	1.678920000000000101e+01	1.712102853571427730e+01
1.542340000000000089e+02	7.309999999999999831e-01	1.769999999999999929e+01	1.752099999999999724e+01	1.770352841269842514e+01
1.539190000000000111e+02	1.082000000000000073e+00	1.859999999999999787e+01	1.866599999999999682e+01	1.869503476190472924e+01
1.643849999999999909e+02	4.460000000000000075e-01	1.810000000000000142e+01	1.797510000000000119e+01	1.811897558531745389e+01
1.640589999999999975e+02	9.350000000000000533e-01	1.900000000000000000e+01	1.892740000000000222e+01	1.899020275793650114e+01
1.636169999999999902e+02	1.657000000000000028e+00	2.139999999999999858e+01	2.144089999999999918e+01	2.186438738095235124e+01
1.745409999999999968e+02	4.060000000000000275e-01	1.909999999999999787e+01	1.906909999999999883e+01	1.907646329365078230e+01
1.741570000000000107e+02	1.014999999999999902e+00	2.019999999999999929e+01	2.006439999999999912e+01	2.018305382936512515e+01
1.737539999999999907e+02	1.750999999999999890e+00	2.200000000000000000e+01	2.198499999999999943e+01	2.222374742063492548e+01
1.732520000000000095e+02	2.460999999999999854e+00	2.560000000000000142e+01	2.574819999999999709e+01	3.085844937698412593e+01
1.746920000000000073e+02	2.644000000000000128e+00	9.420000000000000284e+01	2.705659999999999954e+01	2.673996595238100227e+01
1.846649999999999920e+02	7.520000000000000018e-01	2.060000000000000142e+01	2.074549999999999983e+01	2.048337101587300779e+01
1.848439999999999941e+02	1.508000000000000007e+00	2.200000000000000000e+01	2.213889999999999958e+01	2.199379057539681881e+01
1.844389999999999930e+02	2.251999999999999780e+00	2.400000000000000000e+01	2.415950000000000131e+01	2.412574865079363917e+01
1.841450000000000102e+02	2.883999999999999897e+00	2.700000000000000000e+01	2.713200000000000145e+01	2.768170769841269774e+01
1.838569999999999993e+02	3.450000000000000178e+00	3.320000000000000284e+01	3.294749999999999801e+01	3.316526234126985884e+01
1.993040000000000020e+02	1.012999999999999901e+00	2.270000000000000284e+01	2.268430000000000035e+01	2.230674359920636007e+01
1.986069999999999993e+02	1.530999999999999917e+00	2.330000000000000071e+01	2.338850000000000051e+01	2.306684852579370215e+01
1.986999999999999886e+02	2.669999999999999929e+00	2.589999999999999858e+01	2.575370000000000203e+01	2.646645587896825802e+01
1.983650000000000091e+02	3.520000000000000018e+00	2.880000000000000071e+01	2.868079999999999785e+01	2.922877285714288931e+01
1.983629999999999995e+02	4.155999999999999694e+00	3.250000000000000000e+01	3.238259999999999650e+01	3.280124777777782441e+01
2.142290000000000134e+02	1.068000000000000060e+00	2.429999999999999716e+01	2.434959999999999880e+01	2.420659966269843721e+01
2.145459999999999923e+02	1.747000000000000108e+00	2.530000000000000071e+01	2.524399999999999977e+01	2.509752427579366696e+01
2.141100000000000136e+02	3.036000000000000032e+00	2.759999999999999787e+01	2.736819999999999808e+01	2.753841444444442743e+01
2.138429999999999893e+02	4.165000000000000036e+00	3.070000000000000284e+01	3.024279999999999902e+01	3.098523686507935793e+01
2.340320000000000107e+02	9.779999999999999805e-01	2.639999999999999858e+01	2.649450000000000216e+01	2.606823462698413962e+01
2.350910000000000082e+02	3.145999999999999908e+00	2.939999999999999858e+01	2.921160000000000068e+01	2.861917010317459642e+01
2.549000000000000057e+02	1.018999999999999906e+00	2.889999999999999858e+01	2.901419999999999888e+01	2.930790475595238931e+01
2.555889999999999986e+02	2.714999999999999858e+00	3.080000000000000071e+01	3.074249999999999972e+01	3.039421142658727248e+01
2.749359999999999786e+02	1.014999999999999902e+00	3.139999999999999858e+01	3.151199999999999690e+01	3.258731539285714263e+01
2.751129999999999995e+02	2.495999999999999996e+00	3.280000000000000426e+01	3.278059999999999974e+01	3.255427028968249203e+01
2.747669999999999959e+02	4.448000000000000398e+00	3.500000000000000000e+01	3.476690000000000680e+01	3.491632794841262921e+01
2.957440000000000282e+02	9.879999999999999893e-01	3.379999999999999716e+01	3.422830000000000439e+01	3.473001363293646904e+01
2.955070000000000050e+02	1.949000000000000066e+00	3.460000000000000142e+01	3.490010000000000190e+01	3.481542738888893496e+01
2.952019999999999982e+02	3.912999999999999812e+00	3.639999999999999858e+01	3.652309999999999945e+01	3.646205263888890613e+01
3.080769999999999982e+02	1.076000000000000068e+00	3.579999999999999716e+01	3.597920000000000584e+01	3.597210565476192556e+01
3.083210000000000264e+02	2.676000000000000156e+00	3.719999999999999574e+01	3.715769999999999840e+01	3.725745434523806665e+01
1.346450000000000102e+02	3.160000000000000031e-01	1.483000000000000007e+01	1.449049999999999905e+01	1.483595922222224317e+01
1.341189999999999998e+02	3.160000000000000031e-01	1.475000000000000000e+01	1.443769999999999953e+01	1.477598622222224556e+01
1.336059999999999945e+02	3.150000000000000022e-01	1.475000000000000000e+01	1.438339999999999996e+01	1.472525344444446738e+01
1.331270000000000095e+02	3.140000000000000013e-01	1.471000000000000085e+01	1.433279999999999887e+01	1.467268650000000463e+01
1.451510000000000105e+02	3.569999999999999840e-01	1.597000000000000242e+01	1.569150000000000134e+01	1.612240032539683909e+01
1.445490000000000066e+02	3.569999999999999840e-01	1.590000000000000036e+01	1.562710000000000221e+01	1.606768182539681433e+01
1.440339999999999918e+02	3.569999999999999840e-01	1.583999999999999986e+01	1.557230000000000025e+01	1.605746692460318314e+01
1.435869999999999891e+02	3.569999999999999840e-01	1.583999999999999986e+01	1.552480000000000082e+01	1.603804378571429723e+01
1.447460000000000093e+02	6.500000000000000222e-01	1.658000000000000185e+01	1.647339999999999804e+01	1.659594128968252491e+01
1.442580000000000098e+02	6.500000000000000222e-01	1.658999999999999986e+01	1.643560000000000088e+01	1.656524430555551675e+01
1.436899999999999977e+02	6.500000000000000222e-01	1.660000000000000142e+01	1.639250000000000185e+01	1.653766615079366886e+01
1.434029999999999916e+02	6.500000000000000222e-01	1.651999999999999957e+01	1.637109999999999843e+01	1.653528580158732098e+01
1.547100000000000080e+02	4.289999999999999925e-01	1.708000000000000185e+01	1.687480000000000047e+01	1.717192199801585417e+01
1.541289999999999907e+02	4.289999999999999925e-01	1.717000000000000171e+01	1.681159999999999854e+01	1.710138452777776763e+01
1.536870000000000118e+02	4.289999999999999925e-01	1.696999999999999886e+01	1.676370000000000005e+01	1.711336627380952535e+01
1.531610000000000014e+02	4.289999999999999925e-01	1.691000000000000014e+01	1.670670000000000144e+01	1.710631689285713009e+01
1.550000000000000000e+02	7.309999999999999831e-01	1.780999999999999872e+01	1.759029999999999916e+01	1.771298260912696776e+01
1.544600000000000080e+02	7.309999999999999831e-01	1.773000000000000043e+01	1.754129999999999967e+01	1.770755436507938541e+01
1.539830000000000041e+02	7.309999999999999831e-01	1.771000000000000085e+01	1.749849999999999994e+01	1.769589940476190648e+01
