# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.114300000000000068e+02	5.530000000000000471e-01	1.847000000000000171e+02	1.845390000000000157e+02	1.707739222898872242e+02
1.113310000000000031e+02	1.163700000000000045e+01	1.971999999999999886e+02	1.962789999999999964e+02	1.927461339410989751e+02
1.114830000000000041e+02	2.269099999999999895e+01	2.076999999999999886e+02	2.066060000000000230e+02	2.119505262584190746e+02
1.113280000000000030e+02	3.411299999999999955e+01	2.175000000000000000e+02	2.168720000000000141e+02	2.305737282869795308e+02
1.112049999999999983e+02	4.492900000000000205e+01	2.262000000000000171e+02	2.260040000000000191e+02	2.178746263539617019e+02
1.110810000000000031e+02	5.673599999999999710e+01	2.353000000000000114e+02	2.354789999999999850e+02	2.362364833646962836e+02
1.109620000000000033e+02	6.864400000000000546e+01	2.436999999999999886e+02	2.446189999999999998e+02	2.376051905364149093e+02
1.348669999999999902e+02	7.640000000000000124e-01	1.519000000000000057e+02	1.511530000000000200e+02	1.518048863010485547e+02
1.349060000000000059e+02	1.170899999999999963e+01	1.670000000000000000e+02	1.657359999999999900e+02	1.682266502867146585e+02
1.347520000000000095e+02	2.296199999999999974e+01	1.800000000000000000e+02	1.786730000000000018e+02	1.915999889957088556e+02
1.348720000000000141e+02	3.417699999999999960e+01	1.913000000000000114e+02	1.898880000000000052e+02	1.872596100932818786e+02
1.347129999999999939e+02	4.557600000000000051e+01	2.019000000000000057e+02	2.006850000000000023e+02	2.021679973129265022e+02
1.348230000000000075e+02	5.674799999999999756e+01	2.114000000000000057e+02	2.103190000000000168e+02	2.077890773508070197e+02
1.346430000000000007e+02	6.792600000000000193e+01	2.202999999999999829e+02	2.197659999999999911e+02	2.159048421274092107e+02
1.549110000000000014e+02	1.596999999999999975e+00	1.227000000000000028e+02	1.228539999999999992e+02	1.206554802304106886e+02
1.547450000000000045e+02	6.753999999999999559e+00	1.327000000000000171e+02	1.328220000000000027e+02	1.347140866634074428e+02
1.549759999999999991e+02	1.457699999999999996e+01	1.445999999999999943e+02	1.444320000000000164e+02	1.284055664170647901e+02
1.550970000000000084e+02	2.531400000000000006e+01	1.584000000000000057e+02	1.578700000000000045e+02	1.851136306587926299e+02
1.552139999999999986e+02	3.599399999999999977e+01	1.701999999999999886e+02	1.694890000000000043e+02	1.752114663939187267e+02
1.550629999999999882e+02	4.663000000000000256e+01	1.812999999999999829e+02	1.802439999999999998e+02	1.771423831682128025e+02
1.548750000000000000e+02	5.692399999999999949e+01	1.910000000000000000e+02	1.899609999999999843e+02	1.754237123949268096e+02
1.547079999999999984e+02	6.703300000000000125e+01	1.998000000000000114e+02	1.989579999999999984e+02	1.747225494630193623e+02
1.746100000000000136e+02	4.613999999999999879e+00	1.005999999999999943e+02	1.003670000000000044e+02	9.725106042492880931e+01
1.747510000000000048e+02	1.270800000000000018e+01	1.180000000000000000e+02	1.184669999999999987e+02	1.175883194593701830e+02
1.749950000000000045e+02	1.972200000000000131e+01	1.292000000000000171e+02	1.294609999999999843e+02	1.360617216916532470e+02
1.751479999999999961e+02	2.645200000000000173e+01	1.383000000000000114e+02	1.384559999999999889e+02	1.306199765046362131e+02
1.750039999999999907e+02	3.379599999999999937e+01	1.476000000000000227e+02	1.474650000000000034e+02	1.376407274800958760e+02
1.752179999999999893e+02	4.128399999999999892e+01	1.559000000000000057e+02	1.555100000000000193e+02	1.477601168064986155e+02
1.750989999999999895e+02	4.814600000000000080e+01	1.630999999999999943e+02	1.626550000000000011e+02	1.757472740745226361e+02
1.749350000000000023e+02	5.505799999999999983e+01	1.703000000000000114e+02	1.695049999999999955e+02	1.641195080037286402e+02
1.748340000000000032e+02	6.163900000000000290e+01	1.764000000000000057e+02	1.756860000000000070e+02	1.825272054069418743e+02
1.750000000000000000e+02	6.837000000000000455e+01	1.822999999999999829e+02	1.815349999999999966e+02	1.736397954550720328e+02
1.118269999999999982e+02	5.610000000000000542e-01	1.842699999999999818e+02	1.839919999999999902e+02	1.907857705879457342e+02
1.116550000000000011e+02	5.560000000000000497e-01	1.847600000000000193e+02	1.842280000000000086e+02	1.842723274915365721e+02
1.112549999999999955e+02	5.510000000000000453e-01	1.847500000000000000e+02	1.847810000000000059e+02	1.829937849552052000e+02
1.109830000000000041e+02	5.460000000000000409e-01	1.851200000000000045e+02	1.851549999999999727e+02	1.804731665295892071e+02
1.117620000000000005e+02	1.164400000000000013e+01	1.968100000000000023e+02	1.957330000000000041e+02	2.046933663942560031e+02
1.113629999999999995e+02	1.164100000000000001e+01	1.967899999999999920e+02	1.962419999999999902e+02	1.986551444996640043e+02
1.112150000000000034e+02	1.163499999999999979e+01	1.975399999999999920e+02	1.964259999999999877e+02	1.986752112036072901e+02
1.109849999999999994e+02	1.163000000000000078e+01	1.975800000000000125e+02	1.967160000000000082e+02	2.006655834892189887e+02
1.117680000000000007e+02	2.269800000000000040e+01	2.070399999999999920e+02	2.062700000000000102e+02	2.160072412957031247e+02
1.116880000000000024e+02	2.269300000000000139e+01	2.076200000000000045e+02	2.063609999999999900e+02	2.115180688318021112e+02
1.113010000000000019e+02	2.268799999999999883e+01	2.077500000000000000e+02	2.068220000000000027e+02	2.271511072878125788e+02
1.111730000000000018e+02	2.268199999999999861e+01	2.084600000000000080e+02	2.069699999999999989e+02	2.200216161128779220e+02
1.116129999999999995e+02	3.411899999999999977e+01	2.168100000000000023e+02	2.165529999999999973e+02	2.284779292654273775e+02
1.114719999999999942e+02	3.411699999999999733e+01	2.177900000000000205e+02	2.167119999999999891e+02	2.319241686062794088e+02
1.112309999999999945e+02	3.411200000000000188e+01	2.176099999999999852e+02	2.169809999999999945e+02	2.138646670643629193e+02
1.109969999999999999e+02	3.410900000000000176e+01	2.179599999999999795e+02	2.172439999999999998e+02	2.314667703636316958e+02
1.115079999999999956e+02	4.493900000000000006e+01	2.256899999999999977e+02	2.256839999999999975e+02	2.293523502645714416e+02
1.113469999999999942e+02	4.493200000000000216e+01	2.260200000000000102e+02	2.258530000000000086e+02	2.343380276796685280e+02
1.111009999999999991e+02	4.492600000000000193e+01	2.262400000000000091e+02	2.261150000000000091e+02	2.393671083727334405e+02
1.108629999999999995e+02	4.492000000000000171e+01	2.266700000000000159e+02	2.263680000000000234e+02	2.109545555470882334e+02
1.114330000000000069e+02	5.674399999999999977e+01	2.349399999999999977e+02	2.351200000000000045e+02	2.362545007617423494e+02
1.111809999999999974e+02	5.674000000000000199e+01	2.351699999999999875e+02	2.353790000000000191e+02	2.211642355157975430e+02
1.109629999999999939e+02	5.673499999999999943e+01	2.354199999999999875e+02	2.356009999999999991e+02	2.315583263948276738e+02
1.107450000000000045e+02	5.672599999999999909e+01	2.355399999999999920e+02	2.358189999999999884e+02	2.376501337317927778e+02
1.112180000000000035e+02	6.863500000000000512e+01	2.432500000000000000e+02	2.443580000000000041e+02	2.419576829045387001e+02
1.111039999999999992e+02	6.863899999999999579e+01	2.436800000000000068e+02	2.444739999999999895e+02	2.639934768364178694e+02
1.108940000000000055e+02	6.864700000000000557e+01	2.438100000000000023e+02	2.446889999999999930e+02	2.615200335649004160e+02
1.106310000000000002e+02	6.865900000000000603e+01	2.440499999999999829e+02	2.449600000000000080e+02	2.674707104197254353e+02
