# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.114300000000000068e+02	5.530000000000000471e-01	1.847000000000000171e+02	1.845390000000000157e+02	1.863380000000001075e+02
1.113310000000000031e+02	1.163700000000000045e+01	1.971999999999999886e+02	1.962789999999999964e+02	2.019728000000000634e+02
1.114830000000000041e+02	2.269099999999999895e+01	2.076999999999999886e+02	2.066060000000000230e+02	2.081398000000000081e+02
1.113280000000000030e+02	3.411299999999999955e+01	2.175000000000000000e+02	2.168720000000000141e+02	2.176676000000001068e+02
1.112049999999999983e+02	4.492900000000000205e+01	2.262000000000000171e+02	2.260040000000000191e+02	2.261520000000000152e+02
1.110810000000000031e+02	5.673599999999999710e+01	2.353000000000000114e+02	2.354789999999999850e+02	2.353100000000000307e+02
1.109620000000000033e+02	6.864400000000000546e+01	2.436999999999999886e+02	2.446189999999999998e+02	2.437606000000000108e+02
1.348669999999999902e+02	7.640000000000000124e-01	1.519000000000000057e+02	1.511530000000000200e+02	1.519420000000000641e+02
1.349060000000000059e+02	1.170899999999999963e+01	1.670000000000000000e+02	1.657359999999999900e+02	1.670169999999999391e+02
1.347520000000000095e+02	2.296199999999999974e+01	1.800000000000000000e+02	1.786730000000000018e+02	1.800276000000000636e+02
1.348720000000000141e+02	3.417699999999999960e+01	1.913000000000000114e+02	1.898880000000000052e+02	1.913796000000000959e+02
1.347129999999999939e+02	4.557600000000000051e+01	2.019000000000000057e+02	2.006850000000000023e+02	2.019591999999999530e+02
1.348230000000000075e+02	5.674799999999999756e+01	2.114000000000000057e+02	2.103190000000000168e+02	2.116439999999999770e+02
1.346430000000000007e+02	6.792600000000000193e+01	2.202999999999999829e+02	2.197659999999999911e+02	2.201739999999999782e+02
1.549110000000000014e+02	1.596999999999999975e+00	1.227000000000000028e+02	1.228539999999999992e+02	1.229470000000000454e+02
1.547450000000000045e+02	6.753999999999999559e+00	1.327000000000000171e+02	1.328220000000000027e+02	1.327637999999999465e+02
1.549759999999999991e+02	1.457699999999999996e+01	1.445999999999999943e+02	1.444320000000000164e+02	1.445717999999998824e+02
1.550970000000000084e+02	2.531400000000000006e+01	1.584000000000000057e+02	1.578700000000000045e+02	1.584292000000000087e+02
1.552139999999999986e+02	3.599399999999999977e+01	1.701999999999999886e+02	1.694890000000000043e+02	1.709248000000000616e+02
1.550629999999999882e+02	4.663000000000000256e+01	1.812999999999999829e+02	1.802439999999999998e+02	1.811343999999998857e+02
1.548750000000000000e+02	5.692399999999999949e+01	1.910000000000000000e+02	1.899609999999999843e+02	1.909538000000000864e+02
1.547079999999999984e+02	6.703300000000000125e+01	1.998000000000000114e+02	1.989579999999999984e+02	1.998885999999999399e+02
1.746100000000000136e+02	4.613999999999999879e+00	1.005999999999999943e+02	1.003670000000000044e+02	1.008012000000000086e+02
1.747510000000000048e+02	1.270800000000000018e+01	1.180000000000000000e+02	1.184669999999999987e+02	1.178633999999999133e+02
1.749950000000000045e+02	1.972200000000000131e+01	1.292000000000000171e+02	1.294609999999999843e+02	1.292142000000000905e+02
1.751479999999999961e+02	2.645200000000000173e+01	1.383000000000000114e+02	1.384559999999999889e+02	1.383799999999999386e+02
1.750039999999999907e+02	3.379599999999999937e+01	1.476000000000000227e+02	1.474650000000000034e+02	1.475464000000000340e+02
1.752179999999999893e+02	4.128399999999999892e+01	1.559000000000000057e+02	1.555100000000000193e+02	1.560173999999998955e+02
1.750989999999999895e+02	4.814600000000000080e+01	1.630999999999999943e+02	1.626550000000000011e+02	1.631749999999998977e+02
1.749350000000000023e+02	5.505799999999999983e+01	1.703000000000000114e+02	1.695049999999999955e+02	1.703868000000001075e+02
1.748340000000000032e+02	6.163900000000000290e+01	1.764000000000000057e+02	1.756860000000000070e+02	1.765055999999999301e+02
1.750000000000000000e+02	6.837000000000000455e+01	1.822999999999999829e+02	1.815349999999999966e+02	1.822582000000001301e+02
1.118269999999999982e+02	5.610000000000000542e-01	1.842699999999999818e+02	1.839919999999999902e+02	1.867370000000001085e+02
1.116550000000000011e+02	5.560000000000000497e-01	1.847600000000000193e+02	1.842280000000000086e+02	1.865128000000000839e+02
